clock,se,mean,votes_count,blockchain_size_kB,difficulty,actual,predicted,error,absError,consWhite
436,87267,6599125,755,2288,0.52,0.34,0.3400875,-8.74999999999626e-05,8.74999999999626e-05,TRUE
487,86175,6279183,898,2860,0.56,0.36,0.3720817,-0.0120817,0.0120817,TRUE
401,97033,6156461,673,2684,0.61,0.38,0.3843539,-0.00435390000000002,0.00435390000000002,TRUE
444,86524,5988669,835,2680,0.67,0.4,0.4011331,-0.0011331,0.0011331,TRUE
454,88130,6043463,806,2020,0.72,0.42,0.3956537,0.0243463,0.0243463,TRUE
388,96687,5581058,656,2096,0.79,0.44,0.4418942,-0.00189420000000001,0.00189420000000001,TRUE
479,91526,5342986,771,2944,0.85,0.46,0.4657014,-0.00570140000000002,0.00570140000000002,TRUE
425,90319,5290199,737,2304,0.92,0.48,0.4709801,0.00901989999999997,0.00901989999999997,TRUE
418,89434,6598707,751,1540,0.52,0.34,0.3401293,-0.000129299999999943,0.000129299999999943,TRUE
455,84074,6571988,778,2228,0.56,0.36,0.3428012,0.0171988,0.0171988,TRUE
393,90684,6147288,717,2228,0.61,0.38,0.3852712,-0.00527120000000003,0.00527120000000003,TRUE
482,86554,5908155,857,2080,0.67,0.4,0.4091845,-0.00918449999999993,0.00918449999999993,TRUE
449,88738,5816315,877,2636,0.72,0.42,0.4183685,0.00163149999999995,0.00163149999999995,TRUE
353,95221,5636375,604,1544,0.79,0.44,0.4363625,0.00363750000000002,0.00363750000000002,TRUE
434,93032,5345274,735,1920,0.85,0.46,0.4654726,-0.00547259999999999,0.00547259999999999,TRUE
428,91394,5191123,749,2400,0.92,0.48,0.4808877,-0.000887700000000047,0.000887700000000047,TRUE
456,92084,6509268,732,2508,0.52,0.34,0.3490732,-0.00907319999999995,0.00907319999999995,TRUE
401,87044,6331928,761,2268,0.56,0.36,0.3668072,-0.00680720000000001,0.00680720000000001,TRUE
479,86032,6200869,856,3744,0.61,0.38,0.3799131,8.69000000000009e-05,8.69000000000009e-05,TRUE
430,93013,6057400,719,2240,0.67,0.4,0.39426,0.00573999999999997,0.00573999999999997,TRUE
443,88097,5960322,810,2844,0.72,0.42,0.4039678,0.0160322,0.0160322,TRUE
399,95114,5558383,669,2356,0.79,0.44,0.4441617,-0.00416169999999999,0.00416169999999999,TRUE
383,97091,5425287,667,2900,0.85,0.46,0.4574713,0.00252869999999999,0.00252869999999999,TRUE
406,96545,5254138,678,2392,0.92,0.48,0.4745862,0.00541380000000002,0.00541380000000002,TRUE
395,91466,6690512,671,2152,0.52,0.34,0.3309488,0.00905119999999998,0.00905119999999998,TRUE
403,89009,6386654,748,1772,0.56,0.36,0.3613346,-0.00133459999999996,0.00133459999999996,TRUE
469,87980,6223045,863,3040,0.61,0.38,0.3776955,0.00230450000000004,0.00230450000000004,TRUE
402,88633,6012331,764,1492,0.67,0.4,0.3987669,0.00123309999999999,0.00123309999999999,TRUE
423,91240,5826568,731,2040,0.72,0.42,0.4173432,0.00265679999999996,0.00265679999999996,TRUE
407,94949,5589541,677,2316,0.79,0.44,0.4410459,-0.00104589999999999,0.00104589999999999,TRUE
409,94758,5492285,750,2840,0.85,0.46,0.4507715,0.00922850000000003,0.00922850000000003,TRUE
458,94700,5322476,754,2640,0.92,0.48,0.4677524,0.0122476,0.0122476,TRUE
440,89268,6626651,816,2524,0.52,0.34,0.3373349,0.00266510000000003,0.00266510000000003,TRUE
470,86074,6469522,840,2092,0.56,0.36,0.3530478,0.00695219999999996,0.00695219999999996,TRUE
393,91474,6164413,682,2228,0.61,0.38,0.3835587,-0.00355870000000003,0.00355870000000003,TRUE
394,93748,5416569,747,2208,0.79,0.44,0.4583431,-0.0183431,0.0183431,TRUE
425,85474,5402570,859,1732,0.85,0.46,0.459743,0.000257000000000007,0.000257000000000007,TRUE
380,95757,5205998,687,1520,0.92,0.48,0.4794002,0.000599799999999928,0.000599799999999928,TRUE
381,91871,6807468,677,1728,0.52,0.34,0.3192532,0.0207468,0.0207468,TRUE
433,82867,6522973,816,1940,0.56,0.36,0.3477027,0.0122973,0.0122973,TRUE
485,87469,6159626,902,2132,0.61,0.38,0.3840374,-0.00403739999999997,0.00403739999999997,TRUE
415,91979,6083692,766,2108,0.67,0.4,0.3916308,0.00836920000000008,0.00836920000000008,TRUE
379,95718,5773955,672,2136,0.72,0.42,0.4226045,-0.00260450000000007,0.00260450000000007,TRUE
406,90912,5456269,707,1740,0.79,0.44,0.4543731,-0.0143731,0.0143731,TRUE
392,94294,5445651,748,2192,0.85,0.46,0.4554349,0.00456510000000004,0.00456510000000004,TRUE
404,94106,5303924,672,2584,0.92,0.48,0.4696076,0.0103924,0.0103924,TRUE
436,88527,6518273,778,3544,0.52,0.34,0.3481727,-0.00817269999999998,0.00817269999999998,TRUE
376,94415,6501284,655,1840,0.56,0.36,0.3498716,0.0101284,0.0101284,TRUE
468,87147,6311275,807,2544,0.61,0.38,0.3688725,0.0111275,0.0111275,TRUE
405,94255,5914808,707,2352,0.67,0.4,0.4085192,-0.00851919999999995,0.00851919999999995,TRUE
421,88426,5729630,830,4424,0.72,0.42,0.427037,-0.00703700000000002,0.00703700000000002,TRUE
452,84647,5678112,813,1668,0.79,0.44,0.4321888,0.00781119999999996,0.00781119999999996,TRUE
409,94441,5396333,705,2060,0.85,0.46,0.4603667,-0.000366699999999998,0.000366699999999998,TRUE
